id,name,type_id,brand_id,distillery_id,abv,age_years,price_usd,rating,tasting_note,excerpt,related_titles,source_url,source_author,source_published,source_image_url
lost-irish-triple-distilled-irish-whiskey,Lost Irish Triple Distilled Irish Whiskey,blended,lost-irish,,40.0,,37.0,92,Takes cask finishing to the next level,"This triple-distilled blend contains grain, malt, and pot still Irish whiskeys. While the use of interesting barrels is becoming more commonplace on the Emerald Isle, few — if any — can boast quite...",Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Two Stacks The First Cut Irish Whiskey|High N' Wicked ‘Saints And Scholars II’ 19 Year Old Single Malt Irish Whiskey|Waterford Single Malt Irish Whisky ‘Biodynamic: Luna 1.1’,https://vinepair.com/review/lost-irish-triple-distilled-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_lostirish.jpg
hinch-irish-whiskey-small-batch,Hinch Irish Whiskey Small Batch,blended,hinch,hinch,43.0,,32.0,90,A stellar option for spirit-forward Irish whiskey cocktails,"This blended Irish whiskey is finished in bourbon casks, which have a notable influence on the spirit's final profile. Striking caramel and vanilla notes add layers to its sweet and malty core. With...",Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Two Stacks The First Cut Irish Whiskey|Teeling ‘Blackpitts’ Peated Single Malt Whiskey|Bushmills 12 Year Old Single Malt Irish Whiskey,https://vinepair.com/review/hinch-irish-whiskey-small-batch/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_hinch.jpg
the-busker-single-pot-still,The Busker Single Pot Still,single-pot-still,the-busker,royal-oak,44.3,,32.0,89,An approachable and affordable intro to Single Pot Still,"The Busker offers four different Irish Whiskeys: one of them a blend; the other three components that make up that blend. This, a single pot still whiskey, is the standout of the bunch, arriving at...",High N' Wicked ‘The Wild Rover’ Single Malt Irish Whiskey|Teeling Small Batch Irish Whiskey|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired,https://vinepair.com/review/the-busker-single-pot-still/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_busker.jpg
west-cork-distillers-bourbon-cask,West Cork Distillers Bourbon Cask,blended,west-cork,west-cork,40.0,,26.0,89,Surprisingly nuanced for the price,"This non-age-statement blend of grain and malt whiskeys is matured in former bourbon casks. Serving a surprisingly delicate profile, there's more nuance in this dram than most similarly priced...",West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask|The Midnight Silkie Irish Whiskey|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired|Teeling Small Batch Irish Whiskey,https://vinepair.com/review/west-cork-distillers-bourbon-cask/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_westcork.jpg
proper-no-twelve-irish-whiskey,Proper No. Twelve Irish Whiskey,blended,proper-twelve,,40.0,,25.0,89,A balanced blend with mass appeal,"Surging sales in recent years have seen Proper No. Twelve gain a status akin to the brand's celebrity co-founder, MMA star Conor McGregor. Though it launched as recently as 2018, the profile of this...",Teeling Small Batch Irish Whiskey|Bushmills 12 Year Old Single Malt Irish Whiskey|Redbreast 21 Year Old Single Pot Still Irish Whiskey|Waterford Irish Single Malt Whisky 'The Cuvée',https://vinepair.com/review/proper-no-twelve-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_internal_proper12.jpg
michael-collins-irish-whiskey,Michael Collins Irish Whiskey,blended,michael-collins,,40.0,,24.0,89,A fruity and impressive budget Irish whiskey,"An affordable option owned by the Sazerac Company, this Irish whiskey contains a blend of pot still, malt, and grain whiskeys. Considering its price tag, this product has an impressively fruity and...",Writers’ Tears Double Oak Irish Whiskey|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Two Stacks The First Cut Irish Whiskey|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished',https://vinepair.com/review/michael-collins-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_michaelcollins.jpg
paddys-old-irish-whiskey,Paddy's Old Irish Whiskey,blended,paddy,midleton,40.0,,20.0,89,A budget option brimming with character,"Owned by the Sazerac Company, this blended Irish whiskey arrives at 40 percent ABV. Despite its relatively low proof and budget price, it's brimming with character. Banana and dried red berry aromas...",Bushmills 12 Year Old Single Malt Irish Whiskey|Limavady Single Barrel Single Malt Irish Whiskey|Two Stacks The First Cut Irish Whiskey|Teeling ‘Blackpitts’ Peated Single Malt Whiskey,https://vinepair.com/review/paddys-old-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_paddy.jpg
bushmills-21-year-old-single-malt,Bushmills 21-Year-Old Single Malt,single-malt,bushmills,bushmills,40.0,21,248.0,97,Worth the splurge for special occasions,This 21-year-old single malt ages for a minimum of 19 years in Oloroso and ex-bourbon casks then spends a further two years maturating in Madeira casks. The combination of age and the different cask...,Bushmills 12 Year Old Single Malt Irish Whiskey|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Writers’ Tears Double Oak Irish Whiskey|Dingle Single Malt Whiskey Batch No. 4,https://vinepair.com/review/bushmills-21-year-old-single-malt/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/bushmills_review_card.png
green-spot-single-pot-still,Green Spot Single Pot Still,single-pot-still,spot,midleton,40.0,,64.0,95,A standard-bearer for the pot still style,"Combing 7- and 10-year-old pot still whiskeys, Green Spot is instantly inviting with banana muffin, creamy oat, and golden raisin aromas. The palate is complex and layered, and soon delivers on the...",West Cork Distillers Bourbon Cask|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired|High N' Wicked ‘Saints And Scholars II’ 19 Year Old Single Malt Irish Whiskey|Proper No. Twelve Irish Whiskey,https://vinepair.com/review/green-spot-single-pot-still/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/greenspot_review_card.png
tullamore-d-e-w-14-year-old-four-cask-finish,Tullamore D.E.W. 14 Year Old Four Cask Finish,single-malt,tullamore-dew,tullamore,41.3,14,75.0,94,Nuanced but approachable whiskey at its neat-sippin' finest.,"A triple-distilled single malt, this release is finished in bourbon, Oloroso sherry, port, and Madeira casks. The influence of the four finishing vessels shines throughout but never threatens to...",Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Two Stacks The First Cut Irish Whiskey|Teeling Small Batch Irish Whiskey|The Busker Single Pot Still,https://vinepair.com/review/tullamore-d-e-w-14-year-old-four-cask-finish/,Tim McKirdy,2022-07-26,https://vinepair.com/wp-content/uploads/2021/03/tullamore_review_card.png
